quote,cited
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,An Operational Approach To Program Design.
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,Weblogging: A study of social computing and its impact on organizations.
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,Austin Group Status Update.
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,Maximum Matchings in General Graphs Through Randomization.
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,Dynamic anti-windup based control method for state constrained systems.
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,A simple model of retina-LGN transmission.
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,Geometric Mean for Subspace Selection.
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,Correlation analysis of target echoes using distributed transmit array.
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,A martingale Kronecker lemma and parameter estimation for linear systems.
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,On measuring the system coherency of quadratically nonlinear systems.
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,Monotonicity properties of wholesale price contracts.
An integrated risk measurement and optimization model for trustworthy software process management.,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
An integrated risk measurement and optimization model for trustworthy software process management.,Numerical simulation of stochastic gene circuits.
An integrated risk measurement and optimization model for trustworthy software process management.,A Predictive Control-Based Approach to Networked Hammerstein Systems: Design and Stability Analysis.
An integrated risk measurement and optimization model for trustworthy software process management.,LMI conditions for global asymptotic stability results for neutral-type neural networks with distributed time delays.
An integrated risk measurement and optimization model for trustworthy software process management.,A WWW Information Seeking Process Model.
On Kalman filtering over fading wireless channels with controlled transmission powers.,Internetalization of End-Users.
On Kalman filtering over fading wireless channels with controlled transmission powers.,The Changing Library Environment.
On Kalman filtering over fading wireless channels with controlled transmission powers.,Coupling strategies for the numerical simulation of blood flow in deformable arteries by 3D and 1D models.
On Kalman filtering over fading wireless channels with controlled transmission powers.,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
On Kalman filtering over fading wireless channels with controlled transmission powers.,Computational origami environment on the web.
On evolutionary computing in multi-ship trajectory planning.,Editorial.
On evolutionary computing in multi-ship trajectory planning.,Workshop der Nachwuchswissenschaftler/innen.
On evolutionary computing in multi-ship trajectory planning.,A construction of vertex-transitive non-Cayley graphs.
On evolutionary computing in multi-ship trajectory planning.,A fast graphics printing program for neurophysiological data.
On evolutionary computing in multi-ship trajectory planning.,Survey of security services on group communications.
Aerial Robotics and the Quadrotor [From the Guest Editors].,Further results on time-free P systems.
Aerial Robotics and the Quadrotor [From the Guest Editors].,Introduction.
Aerial Robotics and the Quadrotor [From the Guest Editors].,Automatic scaling range selection for long-range dependent network traffic.
Aerial Robotics and the Quadrotor [From the Guest Editors].,An efficient volume- rendering algorithm with an analytic approach.
Aerial Robotics and the Quadrotor [From the Guest Editors].,New techniques for untestable fault identification in sequential circuits.
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Developing the New Learning Environment: The Changing Role of the Academic Librarian.
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Fast computation of Legendre moments of polyhedra.
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Trading rule discovery in the US stock market: An empirical study.
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Two Poset Polytopes.
Real options analysis of investment in carbon capture and sequestration technology.,Resource management in network dynamics: An optimal approach to the admission control problem.
